Author,Rating,Helpful_upVotes,Helpful_downVotes,Summary,Review,Compound,Sentiment_label,Negative,Neutral,Positive
ZoiSiem,7.0,42,2,start slow worth sticking,genuinely surprised see low rating show think many people drop first episode fair almost since bit slow boring however show pick around episode found liking show episode cast great lot funny moment think anyone considering watching show advise stick atleast passed first three episode see people might dropped watching first episode im glad stuck got better comforting show watch look forward episode weekend anyone dropped show recommend giving second chance,0.9633,positive,0.091,0.592,0.316
filips8,7.0,85,11,amazing enjoyable nonetheless,episode depiction arab prince arab indian sort thing allowed islam reason hate series may also notice lot review islamic country due controversie rating accurate representation quality series however discouraged watch muslim people series score solid least rank somewhere probablyit enjoyable serie good acting humor plot twist turn sure original plot innovative apparently even culturally appropriate enjoyable watch satisfy romcom comedy drama watcher quality average still way hollywood series movie nowadays tooin short feel free watch first episode fun watch good representation overall quality series sure wont disappointed muslim perhaps skip series may feel like severely misrepresents culture custom,0.9815,positive,0.072,0.605,0.323
kylasylvers,7.0,93,13,show review bombed dont listen,ive noticed review going show ever since episode dont listen show cute feel good show lead beautiful lot chemistry really dramatic outright comedy either cute leaf feeling fluffy happy would recommend youre mood something simple like thatim currently vacation episode fun also think show good job showing corporation poorly treat employee working hard always equate success even within fluff there nice message forming plus two main romance quite cute,0.9833,positive,0.089,0.522,0.389
hanalisss,10.0,247,40,sweet uncomplicated kiss,dont understand low rating guess there kind ridiculous boycott dont know aboutthe show rom com reminds lot old school kdramas reminded bit whats wrong secretary kim dont know whythe plot complicated filled sweet scene silly comedy funny momentsi loved see actor playing prince samir back heartbreaking watched squid game fantastic tooi like chemistry lead glad find dead fish kiss drama whatsoeverand die hard friendship three girl friend always awesome welloverall enjoyable shouldnt miss,0.9731,positive,0.176,0.421,0.403
ramisazaman-67501,10.0,113,16,comfortable cute drama,king land heartwarming kdrama wrap cozy blanket comfort cuteness endearing storyline relatable character create immersive experience left chuckling like never male lead character shining example thing charming endearing making impossible root drama ability evoke genuine laughter prolonged absence testament delightful writing exceptional performance anyone seeking feelgood escape dash romance lot laughter king land absolute green flag,0.9877,positive,0.0,0.534,0.466
lynnorvell,10.0,16,0,feel good series,loved romantic seriesits light funny brilliantly acted great feel good series like brit forgotten make impressed script dialogue actingclothes amazing especially main male character wonthey eye detailespecially actual filming itboth main character screen presence charismathe disappointment finishedhowever gone back watched several time never tired itthey raised bar high cant go back mediocre british dramasand hooked korean drama,0.9801,positive,0.063,0.545,0.392
charliecatherine,7.0,105,33,die expect much hate,really liked showi episode think cute lovely story line understand people dont like rich guy poor girl story line think much trough showthe female character show lot love job passion think thats great thing show male character change inspired female lead opinion also nice thoughtoverall think expect much hate review really shocked lot review come experienced kdrama fan yeah maybe show u expected see lot maybe newer fan ore fan arent kdrama much nice show watch,0.974,positive,0.131,0.516,0.354
balancelife1969,10.0,153,25,huh show addicting,sweet rom com understand low rating seems like bot protesting controversy um samir know middle eastern men like top nothing badthere lot humor emotion show actress play evil sister brilliant ugh awful charachter start tiny silly boy sure blossom beautiful romance highly recommend heartwarming sad sweet touching funny oh heck get feel love message honoring everyone,0.9756,positive,0.203,0.331,0.466
lina-balbuckaite,9.0,25,6,love may hate least wont indifferent,guess youll watch find love hate agree start slow really look forward weekend im smiling throughout episode hate plot want lead couple actor done great job love development natural style lead couple perfect developing communication really perfect together visuals nice really appreciate drama gave many positive moment given either star review guess least doesnt leave indifferent,0.9848,positive,0.083,0.451,0.466
jclevey,7.0,56,21,humorous,lot fun humor lee junho yoona lee junho ahn seha play assistant also loved line jun ho leaving palace place look familiar reflecting red sleeve jun ho demonstrates ability play type character immense talent may one reason lower rating viewer may expected continue taking challenging role would better arab prince played someone country supposed represent reflection extremely limited number role foreigner south korean drama beautiful beautiful clothing set design fake wedding magnificent,0.9832,positive,0.074,0.54,0.387
jt_ktwn1,8.0,38,4,made forget bad world minute,unsure show low rating hisher really loved series hell going world good taken away funny romanticfantasy like world escape thing bit cheesy thats make wonderful one tired violent depressing movie right good escapethe main lead great job message simply write story follow one dream love loved kind throw back kdramas old loved supporting cast brilliant funny twist keep coming also provides insight corporate world south korea politics go wish would done little older sister soften bit earlier better late neverif want escape good thought make feel good definitely watch,0.9937,positive,0.124,0.406,0.47
svtcobra331,9.0,101,18,low rating crazy,show got slow start less fun character blindly ragingly meanbut two lead good chemistry gal hanging fun mr ngo passable comic relief show introduces little ever episode introduces little morethe chemistry story basically mary poppins dogeatdog world farfetched though passable event make escapist storytelling little woman theme surviving modern worldit wouldnt kdrama handsome lead didnt meet gorgeous gal world bfagain first couple episode ok story get interesting,0.9001,positive,0.071,0.701,0.228
angelstarlet,10.0,41,5,dont trust rating,beautiful romantic comedy hour fly watching thisthe show document life diverse character unlike show focus main lead explores various form relationship multiple level fatherson step sibling employeremployee richpoor etc strong bond true friendship among three young woman occupies good chunk dramaoverall funtowatch moderately slow burn romance drama tinge mystery interspersedthe actor marvelous job playing respective role quickly become one favorite showshence rating utterly ridiculous misleading great series,0.9869,positive,0.059,0.529,0.412
priancas-63817,7.0,9,1,much better business proposal,first episode arent world character development make show good first k drama worried oh gonna treat predictable plot girl gonna always ashamed poor air time given thank goodness focused individual story much romance brought really good acting comedy charm coziness good show binge also male character treat female character equally unlike business proposal smh lastly ty introducing junho good actor talented overall like amazed watching multiple drama coming back work,0.9878,positive,0.1,0.449,0.451
nidiampita,10.0,19,1,wonderful,loved series sure low rating laughed cried story beautiful highly recommend must see full romance family comedy story wonderful filled many sweet moment couple endearing way couldnt fall love honestly end wanted go back see series actor portrayed role much sincerity humbleness another series together much chemistry thank giving u experience feel much joy ending beautiful,0.9845,positive,0.117,0.423,0.46
ldev10,10.0,24,2,good escapism fantasy,title sum opinion certainly showgreat production value cast character good chemistry there lot moment levityi really dont get negativity want watch something going make forget bad day itits light drama heavy charm would like bit stake overall part really nitpick partthe character likeable full fledged even rich guy endearing quality flaw ground character,0.9417,positive,0.093,0.591,0.316
anvofficial,10.0,156,37,must watch romcom hater stay away,honest really surprised way anti fan using platform demean show think probably latest controversy show doesnt give anyone right degrade entire cast crew hardworkthis nice show people loving sad see negative thought overshadowing positive view want watch romcom show laughing soo much last episode show chemistry lead another level perfect cast simple plot portrayed nicelypeople commenting polished script know almost drama plotplease watch drama really good,0.9453,positive,0.131,0.555,0.315
blebbe,7.0,11,2,lovely romance slow pacing end,series great strong start couple chemistry great start first episode really great episode jumped right storyline without stalling also got introduced great side character storylinesthis series also great balance comedy romance drama king land full cute moment couple also get see comedic moment entertaining dramathe ending series also really strong came late last episode werent nearly good first episode suddenly story started feel really slow repetitive story could ended earlier opinion like last episode tied everything together,0.9913,positive,0.042,0.547,0.411
